name,prise
TATASTEEL,148.17
HINDALCO,647.70
DRREDDY,"6,612.50"
HCLTECH,"1,778.75"
WIPRO,514.35
BHARTIARTL,"1,577.80"
TECHM,"1,602.60"
BAJFINANCE,"7,345.55"
BAJAJFINSV,"1,833.15"
ONGC,285.30
BPCL,340.25
ADANIPORTS,"1,430.60"
JSWSTEEL,927.75
SBIN,768.60
KOTAKBANK,"1,789.25"
HEROMOTOCO,"5,654.45"
INFY,"1,910.15"
TCS,"4,479.35"
TITAN,"3,711.10"
COALINDIA,483.95
APOLLOHOSP,"6,900.25"
HDFCBANK,"1,643.90"
SHRIRAMFIN,"3,279.90"
LT,"3,536.95"
BAJAJ-AUTO,"11,420.75"
SUNPHARMA,"1,845.70"
POWERGRID,333.20
TATACONSUM,"1,204.40"
HDFCLIFE,700.15
ADANIENT,"2,937.85"
CIPLA,"1,628.35"
M&M,"2,654.25"
EICHERMOT,"4,726.65"
RELIANCE,"2,903.00"
GRASIM,"2,681.15"
NTPC,389.65
AXISBANK,"1,186.10"
INDUSINDBK,"1,421.20"
HINDUNILVR,"2,904.15"
SBILIFE,"1,859.15"
DIVISLAB,"5,439.30"
ULTRACEMCO,"11,487.45"
BRITANNIA,"6,008.65"
MARUTI,"12,242.60"
ITC,514.35
ICICIBANK,"1,236.35"
NESTLEIND,"2,526.85"
ASIANPAINT,"3,367.45"
LTIM,"6,299.30"
TATAMOTORS,976.30
Total,"10,74,586"
